"Rank","Address","Quantity","Percentage"

"1","0xdd90a64b5618bf459ea55e58639df0199f3b02c8","800","0%"
"2","0x5ac8cb9c6e170c6cc09bde59e36cced98b4e579e","600","0%"
"3","0x4092f171df108fb2f926d4869d21b2bcf101b426","400","0%"
"4","0x232dc1b1daeda5ea7ac3490b96762f267656c233","307.872467883188","0%"
"5","0xb4124ceb3451635dacedd11767f004d8a28c6ee7","200","0%"
"6","0x6098a935f76d4812b2fd104e8774c2b63ef65a89","200","0%"
"7","0x14581c5a5c30ca05ec4a3bfe87a0bdeb6b385a17","200","0%"
"8","0x16c5bfdb8c2886958835e67bd591d65ae0c53a76","200","0%"
"9","0x439d925ca61d0900f6bd59908900887f035eb947","200","0%"
"10","0x90a29a1c71611b80568342824a94d52800a1aa84","9.43218260705527","0%"
